Andhra Pradesh,Assam,Bihar,Chhattisgarh,Gujarat,Haryana,Jharkhand,Karnataka,Kerala,Maharashtra,Madhya Pradesh,Odisha,Punjab,Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal
82.1,80.7,50,73.9,57.3,65,70.9,59.6,76.8,58.7,79,75.5,66.5,58.3,78.1,54.4,77.7
82.8,84.3,51.1,74.6,67.2,75.8,59.3,71.6,72.1,50.5,62,80.4,77.2,65.2,76.1,54.7,86.6
79.8,81.3,61.8,65.7,57.7,72.1,69,66.4,73.5,64.4,65.6,67.8,72.6,59,73.4,73,85.1
80.8,78.3,57.4,74,63.4,69.5,70.3,57.9,75.2,61.8,58.5,73.4,69.5,57.4,72.7,58.8,86.6
81.6,75.4,55.5,63,62.6,76.1,60.5,75.4,70.8,58.4,62.6,78.8,73.8,59.6,76.2,67.7,84.8
84.2,80.1,57.2,76.6,56.7,66.6,64.2,76.1,70.7,54.1,51.3,76.7,64.7,57.5,66.1,58.7,80.9
74.1,77.7,59.1,70.2,54.2,77,63.7,70.3,79.5,58.4,71.3,78.5,77.1,64.3,75.3,53.6,69.2
76.7,76,53.2,61.5,63.1,70.9,63.7,66,71.5,58.8,50.1,71.5,69.5,65.4,77.3,61.6,85.2
76.1,79.2,54.8,59.3,61.2,71.6,66.3,60.1,78.3,64.4,58.7,75.7,70.9,68.6,81.1,56.4,83.1
81.7,77.4,50,67.7,66.6,69.9,54.3,73.2,76.2,42.9,64,63.6,68.2,60.9,73.5,53.1,82.4
74.9,88.3,52.9,78,74,,62.5,68.2,81,65.5,57.7,74.8,70.6,68.8,74.6,74.2,81.6
71.3,77.8,56.1,,71.2,,58.2,56.4,68.4,58.8,68.2,75.6,67.1,62.8,79.9,64.2,79.8
68.6,81.4,61.5,,63.8,,66.3,58.3,68.4,51.6,67.6,76.1,70.9,65.9,60.4,51.7,80.4
81.5,78.6,63.6,,74.6,,65.9,69,80.8,57,52.8,73.9,,64.3,63.9,59.4,87.4
79,,48.9,,59.5,,,55.7,65.7,72.2,50.2,73.4,,72.8,80.4,55.4,85.3
84.6,,58,,58.8,,,71.4,71.8,59.7,65.1,76.3,,72.4,73.6,58.3,81
80.9,,52.6,,65.6,,,74.2,73.8,62.9,71.4,58.4,,56.8,67.7,54.9,81.5
78.5,,45.2,,70.5,,,55.6,71.2,59.9,45.6,71.3,,62,78.6,68,79.4
75.6,,60.6,,74.5,,,65.9,73.2,55.8,64.5,79.2,,61,68.6,71,79.7
82,,54.6,,63.6,,,67.2,78.3,63.2,70.7,73,,66,69.8,54.6,83.1
76,,64.3,,52.3,,,72.8,,72.8,63.5,75.1,,68.5,74.7,56.7,81.5
75.3,,67.6,,58.3,,,73.4,,48.6,66.6,,,54.5,77.6,56.2,81.9
50.8,,61.2,,65.1,,,68.8,,62.4,62.2,,,59.7,77.5,58.5,81.5
71.7,,60.5,,61.5,,,72.5,,52.4,66.7,,,59.9,79.5,52.3,82.7
77.3,,59.5,,64.6,,,77.1,,71.6,65.7,,,59.3,79.6,54,85.3
73.5,,54.2,,58.3,,,65.6,,62.1,53.7,,,,78.7,62.9,84.7
83.7,,52.2,,,,,72.3,,66.6,60.8,,,,76.7,66.7,85.2
71.1,,56.7,,,,,74.5,,62.6,56.9,,,,73.1,69.4,85.4
71.7,,53.7,,,,,,,63.4,55.3,,,,76.2,61.1,80.3
81.9,,56.5,,,,,,,63.5,,,,,71.1,60.2,84.4
72.2,,51.5,,,,,,,58,,,,,77.5,54.9,79.4
76.7,,57,,,,,,,53,,,,,74.2,57,66.6
53,,56.3,,,,,,,64.7,,,,,67.5,53.5,84.2
78.7,,64.5,,,,,,,62.5,,,,,79.8,53.7,83.7
80.9,,56.4,,,,,,,66.1,,,,,67.6,51.8,74.7
77.6,,60,,,,,,,51.6,,,,,75.8,56.5,85
60,,60.2,,,,,,,63.2,,,,,76.7,51.4,79.4
81,,57.2,,,,,,,62.2,,,,,61.3,58.7,82.1
77.1,,47.2,,,,,,,61.3,,,,,68.3,58.6,84.6
53.3,,57.8,,,,,,,53.1,,,,,,51,86.2
67.3,,,,,,,,,56.7,,,,,,62.4,84.1
76.1,,,,,,,,,68.7,,,,,,68.3,84
,,,,,,,,,63.7,,,,,,54.1,
,,,,,,,,,70,,,,,,64.1,
,,,,,,,,,66.1,,,,,,60.1,
,,,,,,,,,63.4,,,,,,55,
,,,,,,,,,50.8,,,,,,60.2,
,,,,,,,,,60.1,,,,,,53.5,
,,,,,,,,,,,,,,,60.6,
,,,,,,,,,,,,,,,63,
,,,,,,,,,,,,,,,66.2,
,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,63.1,
,,,,,,,,,,,,,,,61.5,
,,,,,,,,,,,,,,,59.3,
,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,52,
,,,,,,,,,,,,,,,60.4,
,,,,,,,,,,,,,,,59.7,
,,,,,,,,,,,,,,,62.1,
,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,57,
,,,,,,,,,,,,,,,58.1,
,,,,,,,,,,,,,,,60.3,
,,,,,,,,,,,,,,,58.9,
,,,,,,,,,,,,,,,61.2,
,,,,,,,,,,,,,,,67.5,
,,,,,,,,,,,,,,,50.1,
,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,57.8,
,,,,,,,,,,,,,,,52.4,
,,,,,,,,,,,,,,,56.7,
,,,,,,,,,,,,,,,63.5,
,,,,,,,,,,,,,,,49.8,
,,,,,,,,,,,,,,,56.9,
,,,,,,,,,,,,,,,52.7,
,,,,,,,,,,,,,,,60.8,
,,,,,,,,,,,,,,,58,
,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,58.8,